ticker,company,monsterId,imageFile,currentSharePrice,currentIssuedShares,currentDividendType,currentRarity,overrideSharePrice,overrideIssuedShares,overrideDividendType,overrideRarity,note
1332,ニッスイ,jp-1332,1332-ニッスイ.png,1832,535000000,中配当,R,,,,,
1605,INPEX,jp-1605,1605-INPEX.png,2105,445000000,中配当,R,,,,,
1721,コムシスホールディングス,jp-1721,1721-コムシスホールディングス.png,2221,780000000,中配当,SR,,,,,
1801,大成建設,jp-1801,1801-大成建設.png,2301,695000000,高配当,SR,,,,,
1802,大林組,jp-1802,1802-大林組.png,2302,460000000,中配当,R,,,,,
1803,清水建設,jp-1803,1803-清水建設.png,2303,705000000,高配当,SR,,,,,
1808,長谷工コーポレーション,jp-1808,1808-長谷工コーポレーション.png,2308,490000000,中配当,R,,,,,
1812,鹿島建設,jp-1812,1812-鹿島建設.png,2312,750000000,高配当,SR,,,,,
1925,大和ハウス工業,jp-1925,1925-大和ハウス工業.png,2425,590000000,高配当,R,,,,,
1928,積水ハウス,jp-1928,1928-積水ハウス.png,2428,605000000,高配当,R,,,,,
2002,日清製粉グループ本社,jp-2002,2002-日清製粉グループ本社.png,2502,490000000,中配当,R,,,,,
2269,明治ホールディングス,jp-2269,2269-明治ホールディングス.png,2769,610000000,中配当,SR,,,,,
2282,日本ハム,jp-2282,2282-日本ハム.png,2782,435000000,中配当,R,,,,,
2413,エムスリー,jp-2413,2413-エムスリー.png,2913,605000000,低配当,R,,,,,
2432,ディー・エヌ・エー,jp-2432,2432-ディー・エヌ・エー.png,2932,215000000,中配当,R,,,,,
2501,サッポロホールディングス,jp-2501,2501-サッポロホールディングス.png,3001,800000000,中配当,SR,,,,,
2502,アサヒグループホールディングス,jp-2502,2502-アサヒグループホールディングス.png,3002,805000000,中配当,SR,,,,,
2503,キリンホールディングス,jp-2503,2503-キリンホールディングス.png,3003,810000000,中配当,SR,,,,,
2768,双日,jp-2768,2768-双日.png,3268,440000000,中配当,R,,,,,
2801,キッコーマン,jp-2801,2801-キッコーマン.png,3301,605000000,中配当,R,,,,,
2802,味の素,jp-2802,2802-味の素.png,3302,1280000000,中配当,SSR,,,,,
285A,キオクシアホールディングス,jp-285a,285A-キオクシアホールディングス.png,785,1305000000,低配当,SSR,,,,,
2871,ニチレイ,jp-2871,2871-ニチレイ.png,3371,470000000,中配当,R,,,,,
2914,日本たばこ産業,jp-2914,2914-日本たばこ産業.png,3414,200000000,中配当,R,,,,,
3086,J.フロント リテイリング,jp-3086,3086-J.フロント リテイリング.png,3586,575000000,中配当,R,,,,,
3092,ZOZO,jp-3092,3092-ZOZO.png,3592,605000000,低配当,R,,,,,
3099,三越伊勢丹ホールディングス,jp-3099,3099-三越伊勢丹ホールディングス.png,3599,880000000,中配当,SR,,,,,
3289,東急不動産ホールディングス,jp-3289,3289-東急不動産ホールディングス.png,3789,860000000,中配当,SR,,,,,
3382,セブン＆アイ・ホールディングス,jp-3382,3382-セブン＆アイ・ホールディングス.png,3882,840000000,中配当,SR,,,,,
3401,帝人,jp-3401,3401-帝人.png,3901,210000000,中配当,R,,,,,
3402,東レ,jp-3402,3402-東レ.png,3902,215000000,中配当,R,,,,,
3405,クラレ,jp-3405,3405-クラレ.png,3905,230000000,中配当,R,,,,,
3407,旭化成,jp-3407,3407-旭化成.png,3907,240000000,中配当,R,,,,,
3436,SUMCO,jp-3436,3436-SUMCO.png,3936,625000000,中配当,SR,,,,,
3659,ネクソン,jp-3659,3659-ネクソン.png,4159,530000000,低配当,R,,,,,
3697,SHIFT,jp-3697,3697-SHIFT.png,4197,475000000,低配当,SR,,,,,
3861,王子ホールディングス,jp-3861,3861-王子ホールディングス.png,4361,810000000,高配当,SR,,,,,
4004,レゾナック・ホールディングス,jp-4004,4004-レゾナック・ホールディングス.png,4504,555000000,中配当,SR,,,,,
4005,住友化学,jp-4005,4005-住友化学.png,4505,560000000,中配当,SR,,,,,
4021,日産化学,jp-4021,4021-日産化学.png,4521,640000000,中配当,SR,,,,,
4042,東ソー,jp-4042,4042-東ソー.png,4542,505000000,高配当,R,,,,,
4043,トクヤマ,jp-4043,4043-トクヤマ.png,4543,510000000,中配当,R,,,,,
4061,デンカ,jp-4061,4061-デンカ.png,4561,600000000,中配当,R,,,,,
4063,信越化学工業,jp-4063,4063-信越化学工業.png,4563,1930000000,中配当,UR,,,,,
4183,三井化学,jp-4183,4183-三井化学.png,4683,480000000,中配当,SR,,,,,
4188,三菱ケミカルグループ,jp-4188,4188-三菱ケミカルグループ.png,4688,265000000,中配当,R,,,,,
4208,UBE,jp-4208,4208-UBE.png,4708,365000000,高配当,R,,,,,
4452,花王,jp-4452,4452-花王.png,4952,1285000000,中配当,SSR,,,,,
4901,富士フイルム,jp-4901,4901-富士フイルム.png,5401,1755000000,中配当,UR,,,,,
4911,資生堂,jp-4911,4911-資生堂.png,5411,485000000,低配当,R,,,,,
5019,出光興産,jp-5019,5019-出光興産.png,5519,540000000,高配当,R,,,,,
5020,ENEOS,jp-5020,5020-ENEOS.png,5520,1215000000,高配当,SSR,,,,,
5101,横浜ゴム,jp-5101,5101-横浜ゴム.png,5601,465000000,中配当,R,,,,,
5108,ブリヂストン,jp-5108,5108-ブリヂストン.png,5608,1170000000,高配当,SSR,,,,,
